Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8517209588199139,0.7357310398749023,0.6001275510204082,0.6610467158412364,0.9016023919689334
Decision Tree,0.848340503995083,0.7106598984771574,0.625,0.665083135391924,0.8858900556680164
Random Forest,0.852181929932391,0.7309451219512195,0.6116071428571429,0.6659722222222222,0.897431292861274
KNN,0.8275968039336201,0.6599713055954088,0.5867346938775511,0.6212018906144497,0.8510240229695117
SVM,0.8537185003073141,0.7601351351351351,0.5739795918367347,0.6540697674418605,0.898326861108816
